Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
wahine (1)	<???>	wahine (1)	Hawaiian	3	U+0077 U+0061 U+0068 U+0069 U+006e U+0065 U+0020 U+0028 U+0031 U+0029
^ā	ā	ākea, ānuenue	Hawaiian	3	U+005e U+0101
^P	<?>	Pakoa, Paniolo	Hawaiian	3	U+005e U+0050
^K	<?>	Kalema, Kepania	Hawaiian	3	U+005e U+004b
uhi (1)	<???>	uhi (1)	Hawaiian	3	U+0075 U+0068 U+0069 U+0020 U+0028 U+0031 U+0029
^e	e	emi, ea	Hawaiian	3	U+005e U+0065
^t	t	tūkana, tōfū	Hawaiian	3	U+005e U+0074
īw	īw	wīwī, `āwīwī	Hawaiian	3	U+012b U+0077
pā (3)	<???>	pā (3)	Hawaiian	3	U+0070 U+0101 U+0020 U+0028 U+0033 U+0029
noho (1)	<???>	noho (1)	Hawaiian	3	U+006e U+006f U+0068 U+006f U+0020 U+0028 U+0031 U+0029
^i$	i	i	Hawaiian	2	U+005e U+0069 U+0024
kula (1)	<???>	kula (1)	Hawaiian	2	U+006b U+0075 U+006c U+0061 U+0020 U+0028 U+0031 U+0029
^L	<?>	Lāpule, Lalako`a	Hawaiian	2	U+005e U+004c
lua (2)	<???>	lua (2)	Hawaiian	2	U+006c U+0075 U+0061 U+0020 U+0028 U+0032 U+0029
puhi (3)	<???>	puhi (3)	Hawaiian	2	U+0070 U+0075 U+0068 U+0069 U+0020 U+0028 U+0033 U+0029
maka (2)	<???>	maka (2)	Hawaiian	2	U+006d U+0061 U+006b U+0061 U+0020 U+0028 U+0032 U+0029
ēh	ēh	`ēheu, palahēhē	Hawaiian	2	U+0113 U+0068
lima (1)	<???>	lima (1)	Hawaiian	2	U+006c U+0069 U+006d U+0061 U+0020 U+0028 U+0031 U+0029
īh	īh	pīhopa, hīhīmanu	Hawaiian	2	U+012b U+0068
hulu (2)	<???>	hulu (2)	Hawaiian	2	U+0068 U+0075 U+006c U+0075 U+0020 U+0028 U+0032 U+0029
wai (1)	<???>	wai (1)	Hawaiian	2	U+0077 U+0061 U+0069 U+0020 U+0028 U+0031 U+0029
kumu (1)	<???>	kumu (1)	Hawaiian	2	U+006b U+0075 U+006d U+0075 U+0020 U+0028 U+0031 U+0029
kele (2)	<???>	kele (2)	Hawaiian	2	U+006b U+0065 U+006c U+0065 U+0020 U+0028 U+0032 U+0029
`oka (1)	<???>	`oka (1)	Hawaiian	2	U+0060 U+006f U+006b U+0061 U+0020 U+0028 U+0031 U+0029
pa`a (1)	<???>	pa`a (1)	Hawaiian	2	U+0070 U+0061 U+0060 U+0061 U+0020 U+0028 U+0031 U+0029
pā (1)	<???>	pā (1)	Hawaiian	2	U+0070 U+0101 U+0020 U+0028 U+0031 U+0029
kāne (1)	<???>	kāne (1)	Hawaiian	2	U+006b U+0101 U+006e U+0065 U+0020 U+0028 U+0031 U+0029
kui (2)	<???>	kui (2)	Hawaiian	2	U+006b U+0075 U+0069 U+0020 U+0028 U+0032 U+0029
paila (1)	<???>	paila (1)	Hawaiian	2	U+0070 U+0061 U+0069 U+006c U+0061 U+0020 U+0028 U+0031 U+0029
t	t	rītaia, Kristo	Hawaiian	2	U+0074
ku`i (2)	<???>	ku`i (2)	Hawaiian	2	U+006b U+0075 U+0060 U+0069 U+0020 U+0028 U+0032 U+0029
kumu (2)	<???>	kumu (2)	Hawaiian	2	U+006b U+0075 U+006d U+0075 U+0020 U+0028 U+0032 U+0029
hou (2)	<???>	hou (2)	Hawaiian	2	U+0068 U+006f U+0075 U+0020 U+0028 U+0032 U+0029
pūpū (1)	<???>	pūpū (1)	Hawaiian	2	U+0070 U+016b U+0070 U+016b U+0020 U+0028 U+0031 U+0029
hea (1)	<???>	hea (1)	Hawaiian	2	U+0068 U+0065 U+0061 U+0020 U+0028 U+0031 U+0029
`oka (2)	<???>	`oka (2)	Hawaiian	1	U+0060 U+006f U+006b U+0061 U+0020 U+0028 U+0032 U+0029
kuli (1)	<???>	kuli (1)	Hawaiian	1	U+006b U+0075 U+006c U+0069 U+0020 U+0028 U+0031 U+0029
f	f	tōfū	Hawaiian	1	U+0066
kī (3)	<???>	kī (3)	Hawaiian	1	U+006b U+012b U+0020 U+0028 U+0033 U+0029
piwa (2)	<???>	piwa (2)	Hawaiian	1	U+0070 U+0069 U+0077 U+0061 U+0020 U+0028 U+0032 U+0029
^o$	o	o	Hawaiian	1	U+005e U+006f U+0024
