Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ƙy	kʲʼ				
^ƙy	kʲʼ				
ée	ée/eː				
èe	èe/eː				
ée$	ée/eː				
èe$	èe/eː				
ôo$	ôo/oː				
ôo	ôo/oː				
^bà.....bá$	b à/a _ b á/a				
^mântáa$	m â/a n t áa/aː				
^màr̃tȏo$	m à/a r t ȏo/oː				
âa$	âa/aː				
âa	âa/aː				
ûu	ûu/uː				
êe$	êe/eː				
