Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
yo’owe ~ yoowe	<???>	yo’owe ~ yoowe	Yaqui	1	U+0079 U+006f U+2019 U+006f U+0077 U+0065 U+0020 U+007e U+0020 U+0079 U+006f U+006f U+0077 U+0065
lw	lw	jinilwachi	Yaqui	1	U+006c U+0077
kikte (1)	<???>	kikte (1)	Yaqui	1	U+006b U+0069 U+006b U+0074 U+0065 U+0020 U+0028 U+0031 U+0029
ee$	ee	kapee	Yaqui	1	U+0065 U+0065 U+0024
yy	yy	koyyoi	Yaqui	1	U+0079 U+0079
kuus ~ kurus	<???>	kuus ~ kurus	Yaqui	1	U+006b U+0075 U+0075 U+0073 U+0020 U+007e U+0020 U+006b U+0075 U+0072 U+0075 U+0073
kikte (2)	<???>	kikte (2)	Yaqui	1	U+006b U+0069 U+006b U+0074 U+0065 U+0020 U+0028 U+0032 U+0029
kama (1)	<???>	kama (1)	Yaqui	1	U+006b U+0061 U+006d U+0061 U+0020 U+0028 U+0031 U+0029
banko (1)	<???>	banko (1)	Yaqui	1	U+0062 U+0061 U+006e U+006b U+006f U+0020 U+0028 U+0031 U+0029
pojte (2)	<???>	pojte (2)	Yaqui	1	U+0070 U+006f U+006a U+0074 U+0065 U+0020 U+0028 U+0032 U+0029
kucha’ara ~ kucha’a	<???>	kucha’ara ~ kucha’a	Yaqui	1	U+006b U+0075 U+0063 U+0068 U+0061 U+2019 U+0061 U+0072 U+0061 U+0020 U+007e U+0020 U+006b U+0075 U+0063 U+0068 U+0061 U+2019 U+0061
