Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^q	q	qing3, qi1pian4	Mandarin Chinese	61	U+005e U+0071
f	f	ru3fang2, mai2fu	Mandarin Chinese	60	U+0066
ch	ch	tang1chi2, ci4chuan1	Mandarin Chinese	57	U+0063 U+0068
^z	z	zai4, zuo4cai4	Mandarin Chinese	57	U+005e U+007a
^w	w	wo3men, weng4	Mandarin Chinese	56	U+005e U+0077
^p	p	pan4jue2, ping2	Mandarin Chinese	47	U+005e U+0070
r	r	ai4ren2, zhu3ren2	Mandarin Chinese	46	U+0072
^s	s	su4, si4hu	Mandarin Chinese	43	U+005e U+0073
w	w	cuo4wu4, ge2zhiwo1r	Mandarin Chinese	42	U+0077
p	p	qi1pian4, lao3 po2po	Mandarin Chinese	41	U+0070
^k	k	kai1, kuai4	Mandarin Chinese	40	U+005e U+006b
u$	u	hu2lu, nü3xu	Mandarin Chinese	38	U+0075 U+0024
_	_	liang2ci4 or liang2 VCL, zai4 X xia4mian	Mandarin Chinese	37	U+005f
k	k	fen1kai1, hen3kuai4	Mandarin Chinese	36	U+006b
s	s	tao4suo3, ya1sui4	Mandarin Chinese	36	U+0073
^c	c	cuo4wu4, cao3	Mandarin Chinese	32	U+005e U+0063
^r	r	re4, ru3fang2	Mandarin Chinese	25	U+005e U+0072
.	<?>	shi3 ... zhi4xi1, zai4 ... zhi1qian2	Mandarin Chinese	21	U+002e
c	c	shui3cao2, yan1cao3	Mandarin Chinese	21	U+0063
g$	g	tai4yang, mu4jiang	Mandarin Chinese	20	U+0067 U+0024
ü	ü	nü3xu, nü3hai2	Mandarin Chinese	20	U+00fc
o$	o	duo1shao, er3duo	Mandarin Chinese	17	U+006f U+0024
n$	n	wo3men, ni3men	Mandarin Chinese	17	U+006e U+0024
e$	e	ji4de, ling4 yi1 ge	Mandarin Chinese	16	U+0065 U+0024
^e	e	e2, er3duo	Mandarin Chinese	13	U+005e U+0065
^a	a	ai4ren2, an4	Mandarin Chinese	10	U+005e U+0061
a$	a	wei3ba, shui3lao3ya	Mandarin Chinese	10	U+0061 U+0024
r$	r	dou1r, zhe4r	Mandarin Chinese	10	U+0072 U+0024
-	<?>	ji3-CL, di4-er4	Mandarin Chinese	7	U+002d
__	__	shi3 ... zhi4xi1, zai4 ... zhi1qian2	Mandarin Chinese	6	U+005f U+005f
L$	<?>	ji3-CL, na3-CL	Mandarin Chinese	5	U+004c U+0024
X	<?>	zai4 X xia4mian, bi3 X duo1	Mandarin Chinese	5	U+0058
C	<?>	ji3-CL, na3-CL	Mandarin Chinese	4	U+0043
dui4 (2)	<???>	dui4 (2)	Mandarin Chinese	3	U+0064 U+0075 U+0069 U+0034 U+0020 U+0028 U+0032 U+0029
pi2 (3)	<???>	pi2 (3)	Mandarin Chinese	3	U+0070 U+0069 U+0032 U+0020 U+0028 U+0033 U+0029
jiao3 (2)	<???>	jiao3 (2)	Mandarin Chinese	2	U+006a U+0069 U+0061 U+006f U+0033 U+0020 U+0028 U+0032 U+0029
zuo4 (2)	<???>	zuo4 (2)	Mandarin Chinese	2	U+007a U+0075 U+006f U+0034 U+0020 U+0028 U+0032 U+0029
wan1 (1)	<???>	wan1 (1)	Mandarin Chinese	2	U+0077 U+0061 U+006e U+0031 U+0020 U+0028 U+0031 U+0029
jiao4 (2)	<???>	jiao4 (2)	Mandarin Chinese	2	U+006a U+0069 U+0061 U+006f U+0034 U+0020 U+0028 U+0032 U+0029
zhen1 (1)	<???>	zhen1 (1)	Mandarin Chinese	2	U+007a U+0068 U+0065 U+006e U+0031 U+0020 U+0028 U+0031 U+0029
jing3 (2)	<???>	jing3 (2)	Mandarin Chinese	2	U+006a U+0069 U+006e U+0067 U+0033 U+0020 U+0028 U+0032 U+0029
shu3 (2)	<???>	shu3 (2)	Mandarin Chinese	2	U+0073 U+0068 U+0075 U+0033 U+0020 U+0028 U+0032 U+0029
