Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^y	j	yùu, yàak	Thai	62	U+005e U+0079
î	î/i	rîak, thîinîi	Thai	59	U+00ee
ɔ̂	ɔ̂/ɔ	khɔ̂ŋcay, pàakchɔ̂ŋkhlɔ̂ɔt	Thai	57	U+0254 U+0302
^d	d	dèk, dìp	Thai	55	U+005e U+0064
ɔɔ	ɔː	kɔɔŋ, nɔɔn	Thai	55	U+0254 U+0254
ò	ò/o	sòkkapròk, kracòkŋao	Thai	54	U+00f2
ii$	iː	tii, mii	Thai	54	U+0069 U+0069 U+0024
o$	o	kháo, rao	Thai	52	U+006f U+0024
^c	c	càp, cəə	Thai	50	U+005e U+0063
p	p	mansǎmpalǎŋ, wâaŋplàaw	Thai	48	U+0070
d	d	bìdaamaandaa, hây duu	Thai	47	U+0064
ǐ	ǐ/i	sǐa, sǐaŋ	Thai	46	U+01d0
c	c	khɔ̂ŋcay, mǎacîŋcɔ̀ɔk	Thai	43	U+0063
ɔ̀	ɔ̀/ɔ	kɔ̀ɔn, mɔ̀ɔk	Thai	43	U+0254 U+0300
ʉ̂	ʉ̂/ʉ	khʉ̂n, khlʉ̂ʉn	Thai	43	U+0289 U+0302
^w	w	wua, wâaŋplàaw	Thai	42	U+005e U+0077
i$	i	thîi, nîi	Thai	41	U+0069 U+0024
s	s	yaasùup, pasùsàt	Thai	40	U+0073
ʉ	ʉ	mʉaŋ, dʉan	Thai	39	U+0289
ó	ó/o	mótlûuk, nóom	Thai	39	U+00f3
e$	e	khêe, kàeae	Thai	38	U+0065 U+0024
ch	tɕ	lǎanchaay, prachaachon	Thai	37	U+0063 U+0068
ǔ	ǔ/u	thǔu, sǔay	Thai	35	U+01d4
w	w	tawan, thǎowan	Thai	35	U+0077
b	b	lûukbuntham, subin	Thai	35	U+0062
è	è/e	kèp, dèk	Thai	34	U+00e8
ô	ô/o	kôn, thôot	Thai	32	U+00f4
^f	f	fáa, fəə	Thai	32	U+005e U+0066
ɔ́	ɔ́/ɔ	thɔ́ɔŋ, nɔ́ɔŋsǎaw	Thai	31	U+0254 U+0301
